TF,Target,Label
KLF4,SOX17,1
CCND1,CCND3,1
JARID2,EED,1
PML,TRP53,1
POU5F1,EHMT2,1
KLF4,TRP53,1
DNMT3B,NANOG,1
HSPB1,AKT1,1
EED,HIST1H2AL,1
JARID2,DNMT3A,1
RBBP7,EED,1
EHMT2,DNMT3A,1
POU5F1,CCND1,1
JARID2,RBBP7,1
CCND1,VEGFA,1
NR0B1,ZFP42,1
EHMT2,RBBP7,1
ZFP42,SOX2,1
BMP4,LAMB2,1
ZFP42,POU5F1,1
BMP4,POU5F1,1
DNMT3B,HIST2H2BB,1
FOXH1,TDGF1,1
KAT2B,TRP53,1
ETS1,ID1,1
RUNX1,CCND2,1
SOX2,BMP4,1
SOX7,GATA4,1
BMP4,LAMC1,1
ESRRB,SOX2,1
DNMT3L,DNMT3A,1
PHC1,HIST1H2BK,1
KAT2B,DDX21,1
ESRRB,POU5F1,1
PARP1,TRP53,1
KLF4,CCND1,1
MCM6,PRC1,1
POU5F1,DNMT3B,1
EED,DNMT3B,1
AKT1,HK2,1
UTF1,KLF4,1
BMP4,DNAJC3,1
HIST1H1B,HIST1H4N,1
AKT1,KLF4,1
GATA6,SOX17,1
MDM2,CCNG1,1
AKT1,MKRN1,1
XBP1,EDEM1,1
NANOG,KLF4,1
BTG2,EGR1,1
FOXH1,LEFTY1,1
NANOG,GATA6,1
HIST1H1B,HIST1H4D,1
ILK,PARVA,1
CCND1,DNMT3A,1
KAT2B,HIST1H4N,1
BMP4,APOE,1
AKT1,HSP90B1,1
TRP53,HIST1H1B,1
RLIM,ARIH2,1
DNMT3L,UHRF1,1
TRP53,APAF1,1
KPNA2,PLK1,1
AKT1,IGFBP2,1
TRP53,ANXA2,1
MDM2,FGFR3,1
KPNA2,UBE2C,1
DNMT3B,JARID2,1
GATA4,GJA1,1
CITED2,EPAS1,1
BMP4,IL6,1
UTF1,DPPA4,1
DNMT3A,EED,1
MCM6,MSH6,1
TRP53,CDH1,1
DAB2,HIP1,1
PML,MDM2,1
DNMT3B,HIST1H3H,1
TRP53,PARP1,1
KLF4,TFCP2L1,1
DNMT3B,SUZ12,1
TRP53,SOX2,1
TRP53,HSP90AA1,1
GATA4,JARID2,1
UTF1,SOX2,1
PHC1,SUZ12,1
CCND1,AURKA,1
UTF1,ZFP42,1
CBX7,SUZ12,1
AKT1,ID2,1
RBPJ,TRP53,1
KLF4,LEFTY1,1
EED,RBBP7,1
CCND1,MYCN,1
RUNX1,CTBP2,1
GATA4,BMP4,1
BMP4,FST,1
PML,AKT1,1
NANOG,CDH1,1
KLF4,AKT1,1
BMP4,CST3,1
XBP1,HSPA5,1
CCND1,CCNE1,1
NANOG,ZFP42,1
XBP1,PDIA4,1
BMP4,BMPER,1
AKT1,CCNE1,1
POU5F1,UTF1,1
POU5F1,TRIM28,1
KPNA2,TPX2,1
TRP53,BUB1B,1
RUNX1,ZFPM1,1
PHC1,HIST1H2AL,1
CCND1,CCND2,1
RBBP7,NASP,1
JARID2,NANOG,1
NANOG,SOX17,1
KLF4,POU5F1,1
