Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_specific_chipseq_1000,CNNC,0.0,0.0,0.0,0.0,1217,0.0
mESC_specific_chipseq_1000,GNE,0.07,0.048,0.039,0.0345,1217,0.03697617091207888
mESC_specific_chipseq_1000,GNNLink,0.1,0.028,0.015,0.0095,1217,0.012325390304026294
mESC_specific_chipseq_1000,LEAP,0.0,0.006,0.007,0.0055,1217,0.00657354149548069
mESC_specific_chipseq_1000,PIDC,0.0,0.0,0.0,0.0,1217,0.0
mESC_specific_chipseq_1000,PPCOR,0.0,0.002,0.001,0.001,1217,0.0008216926869350862
mESC_specific_chipseq_1000,scGREAT,0.0,0.002,0.001,0.002,1217,0.0008216926869350862
mESC_specific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.0,1217,0.0
mESC_specific_chipseq_1000,STGRNS,0.0,0.002,0.001,0.0005,1217,0.0008216926869350862
mESC_specific_chipseq_1000,GRNFormer,0.05,0.024,0.021,0.018,1217,0.02218570254724733
