Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_specific_chipseq_500,CNNC,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,GNE,0.01,0.018,0.012,0.0095,269,0.01486988847583643
mHSC-L_specific_chipseq_500,GNNLink,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,LEAP,0.0,0.0,0.0,0.002,269,0.0
mHSC-L_specific_chipseq_500,PIDC,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,PPCOR,0.0,0.004,0.005,0.003,269,0.007434944237918215
mHSC-L_specific_chipseq_500,scGREAT,0.0,0.0,0.002,0.001,269,0.0
mHSC-L_specific_chipseq_500,SINCERITIES,0.0,0.0,0.0,0.001,269,0.0
mHSC-L_specific_chipseq_500,STGRNS,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,GRNFormer,0.0,0.0,0.01,0.018,269,0.0
