Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_string_1000,CNNC,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GNE,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GNNLink,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,LEAP,0.0,0.002,0.001,0.001,100,0.0
mESC_string_1000,PIDC,0.0,0.002,0.001,0.001,100,0.0
mESC_string_1000,PPCOR,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,scGREAT,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,SINCERITIES,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,STGRNS,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GRNFormer,0.01,0.006,0.003,0.002,100,0.01
