Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_nonspecific_chipseq_tf500,CNNC,0.0,0.002,0.001,0.0005,40,0.0
mESC_nonspecific_chipseq_tf500,GNE,0.01,0.006,0.004,0.003,40,0.0
mESC_nonspecific_chipseq_tf500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,LEAP,0.0,0.0,0.0,0.0005,40,0.0
mESC_nonspecific_chipseq_tf500,PIDC,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,PPCOR,0.0,0.002,0.001,0.0005,40,0.0
mESC_nonspecific_chipseq_tf500,scGREAT,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,SINCERITIES,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,STGRNS,0.0,0.0,0.0,0.0,40,0.0
mESC_nonspecific_chipseq_tf500,GRNFormer,0.02,0.004,0.002,0.001,40,0.025
