Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mHSC-L_specific_chipseq_tf1000,CNNC,0.18,0.15,0.112,0.099,1868,0.09903640256959315
mHSC-L_specific_chipseq_tf1000,GNE,0.03,0.036,0.032,0.0265,1868,0.027837259100642397
mHSC-L_specific_chipseq_tf1000,GNNLink,0.0,0.0,0.0,0.0,1868,0.0
mHSC-L_specific_chipseq_tf1000,LEAP,0.0,0.0,0.0,0.0,1868,0.0
mHSC-L_specific_chipseq_tf1000,PIDC,0.01,0.002,0.001,0.001,1868,0.0010706638115631692
mHSC-L_specific_chipseq_tf1000,PPCOR,0.01,0.008,0.004,0.003,1868,0.0032119914346895075
mHSC-L_specific_chipseq_tf1000,scGREAT,0.0,0.0,0.0,0.0005,1868,0.0005353319057815846
mHSC-L_specific_chipseq_tf1000,SINCERITIES,0.0,0.0,0.001,0.001,1868,0.0010706638115631692
mHSC-L_specific_chipseq_tf1000,STGRNS,0.0,0.0,0.0,0.001,1868,0.0005353319057815846
mHSC-L_specific_chipseq_tf1000,GRNFormer,0.0,0.032,0.031,0.0255,1868,0.026231263383297645
